session_id,phase,iteration,elapsed_sec,x_norm,y_norm,dec_disp_norm
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.010570,0.449292,0.471387,-0.000065
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.048613,0.449057,0.471436,0.000172
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.082348,0.448897,0.471246,0.000253
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.113444,0.448970,0.471402,0.000241
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.149741,0.449002,0.471444,0.000225
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.183600,0.448848,0.471305,0.000320
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.216964,0.448793,0.471340,0.000384
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.251732,0.448751,0.471312,0.000413
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.285246,0.448678,0.471612,0.000588
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.318649,0.448724,0.471309,0.000438
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.352418,0.448694,0.471459,0.000519
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.387561,0.448695,0.471309,0.000465
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.420370,0.448681,0.471258,0.000459
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.452360,0.448625,0.471277,0.000518
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.484582,0.448724,0.471364,0.000457
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.518332,0.448751,0.471393,0.000442
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.552030,0.448704,0.471390,0.000485
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.586771,0.448789,0.471466,0.000433
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.620027,0.448776,0.471502,0.000457
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.653405,0.448791,0.471423,0.000415
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.684384,0.448783,0.471272,0.000369
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.719447,0.448716,0.471353,0.000460
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.750888,0.448730,0.471400,0.000464
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.786611,0.448856,0.471388,0.000342
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.819905,0.448726,0.471191,0.000394
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.853693,0.448805,0.471213,0.000327
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.885449,0.448689,0.471195,0.000429
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.919481,0.448776,0.471170,0.000339
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.951473,0.448870,0.471230,0.000272
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,0.984998,0.448710,0.471225,0.000420
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.019658,0.448653,0.471176,0.000457
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.052741,0.448671,0.471246,0.000464
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.086034,0.448691,0.471219,0.000436
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.119334,0.448783,0.471129,0.000318
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.151279,0.448709,0.471174,0.000403
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.185535,0.448759,0.471235,0.000378
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.218167,0.448853,0.471128,0.000252
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.251636,0.448840,0.471322,0.000333
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.285830,0.448906,0.471100,0.000192
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.319041,0.448963,0.471248,0.000192
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.351203,0.448898,0.471292,0.000269
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.384329,0.448812,0.471356,0.000372
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.417687,0.448806,0.471377,0.000384
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.450629,0.448889,0.471290,0.000277
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.485621,0.448820,0.471272,0.000334
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.518771,0.448862,0.471239,0.000283
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.548826,0.448751,0.471267,0.000397
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.580317,0.448734,0.471228,0.000399
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.615218,0.448815,0.471357,0.000370
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.648665,0.448904,0.471221,0.000238
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.683914,0.448727,0.471462,0.000489
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.718723,0.448830,0.471288,0.000330
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.750109,0.448718,0.471265,0.000428
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.785609,0.448785,0.471415,0.000418
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.819291,0.448884,0.471418,0.000326
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.852160,0.448801,0.471291,0.000359
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.885463,0.448718,0.471417,0.000482
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.919116,0.448859,0.471375,0.000335
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.948369,0.448955,0.471361,0.000240
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,1.980866,0.448870,0.471495,0.000368
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,2.017470,0.448820,0.471575,0.000442
2B0683E2-512C-4636-97FC-765324893C0D,azimuth,1,2.050858,0.448799,0.471322,0.000372
