session_id,phase,iteration,elapsed_sec,x_norm,y_norm,dec_disp_norm
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.018360,0.496319,0.497848,-0.000111
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.055065,0.496173,0.497873,0.000035
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.089382,0.496205,0.497899,0.000013
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.122438,0.496128,0.497878,0.000079
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.156942,0.496206,0.497876,0.000004
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.187462,0.496326,0.497623,-0.000194
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.223446,0.496273,0.497889,-0.000054
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.257769,0.496210,0.497995,0.000041
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.291146,0.496345,0.497697,-0.000187
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.325039,0.496402,0.497719,-0.000233
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.359622,0.496160,0.497888,0.000052
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.393725,0.496143,0.497860,0.000058
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.427130,0.496255,0.497831,-0.000057
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.460704,0.496032,0.497835,0.000154
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.493828,0.496102,0.497737,0.000055
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.527377,0.496115,0.497940,0.000112
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.560357,0.496338,0.497901,-0.000111
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.593331,0.496332,0.497855,-0.000121
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.626703,0.496319,0.497889,-0.000097
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.660344,0.496302,0.497836,-0.000099
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.691783,0.496256,0.497915,-0.000029
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.727022,0.496242,0.497781,-0.000061
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.758138,0.496227,0.497928,0.000002
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.793260,0.496158,0.497923,0.000066
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.825372,0.496235,0.497898,-0.000016
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.859481,0.496214,0.497950,0.000023
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.892522,0.496130,0.497791,0.000048
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.926628,0.496226,0.497969,0.000018
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.960068,0.496188,0.497882,0.000024
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,0.992451,0.496234,0.497928,-0.000004
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.025298,0.496335,0.497901,-0.000108
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.059291,0.496353,0.497886,-0.000131
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.092565,0.496220,0.497992,0.000030
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.126025,0.496132,0.497960,0.000103
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.158531,0.496247,0.497946,-0.000011
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.192655,0.496224,0.497967,0.000019
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.224857,0.496238,0.497945,-0.000002
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.259277,0.496217,0.497736,-0.000053
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.293327,0.496228,0.497980,0.000019
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.326216,0.496313,0.497925,-0.000080
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.359999,0.496096,0.497959,0.000136
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.391791,0.496207,0.497922,0.000019
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.426366,0.496149,0.497902,0.000067
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.458902,0.496229,0.497992,0.000022
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.492652,0.496273,0.497816,-0.000079
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.547509,0.496247,0.497911,-0.000023
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.552695,0.496144,0.497960,0.000091
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.587817,0.496138,0.497903,0.000078
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.622780,0.496093,0.497908,0.000121
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.657271,0.496151,0.497915,0.000069
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.692993,0.496118,0.497756,0.000047
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.726202,0.496145,0.497939,0.000084
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.757911,0.496154,0.497929,0.000071
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.792010,0.496133,0.497911,0.000085
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.826878,0.496050,0.497986,0.000189
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.860185,0.496309,0.497917,-0.000078
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.892156,0.496142,0.497917,0.000078
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.926163,0.496214,0.497769,-0.000039
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.957917,0.496188,0.497978,0.000056
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,1.992614,0.496219,0.497756,-0.000049
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.026710,0.496111,0.497785,0.000063
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.059581,0.496087,0.497593,0.000021
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.093739,0.496036,0.497678,0.000097
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.126610,0.496087,0.497938,0.000137
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.157203,0.496068,0.497642,0.000055
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.190929,0.496039,0.497819,0.000142
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.225570,0.496039,0.497905,0.000172
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.259491,0.495946,0.497627,0.000164
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.293092,0.496055,0.497892,0.000152
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.326763,0.495856,0.497847,0.000324
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.360962,0.495869,0.497777,0.000287
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.392888,0.495958,0.497926,0.000255
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.426882,0.496128,0.497943,0.000101
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.456898,0.496122,0.497795,0.000056
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.491173,0.496046,0.497817,0.000136
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.526406,0.495870,0.497779,0.000288
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.559768,0.496115,0.497447,-0.000056
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.593245,0.495941,0.497541,0.000140
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.626647,0.495959,0.497901,0.000246
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.660122,0.496009,0.497732,0.000141
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.693214,0.496099,0.497913,0.000117
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.727214,0.496104,0.497607,0.000010
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.758065,0.496068,0.497679,0.000067
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.793282,0.496078,0.497572,0.000022
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.826790,0.496117,0.497879,0.000089
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.860229,0.496107,0.497555,-0.000011
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.893222,0.496131,0.497740,0.000029
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.927171,0.496082,0.497843,0.000110
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.957668,0.496128,0.497826,0.000061
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,2.993123,0.496045,0.497842,0.000144
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,3.024894,0.496036,0.497876,0.000165
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,3.059562,0.496174,0.497852,0.000026
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,3.093199,0.496130,0.497841,0.000064
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,3.126293,0.496217,0.497906,0.000004
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,3.159534,0.496163,0.497475,-0.000091
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,3.192990,0.496114,0.497548,-0.000021
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,3.226555,0.496365,0.497419,-0.000300
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,3.260088,0.496138,0.497878,0.000069
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,3.293303,0.496236,0.497781,-0.000056
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,3.326518,0.496271,0.497526,-0.000175
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,3.358682,0.496039,0.497514,0.000039
655184F2-68FB-4B36-9A13-0D082CD80440,azimuth,1,3.392653,0.496320,0.497518,-0.000224
