session_id,phase,iteration,elapsed_sec,x_px,y_px,dec_disp_px,ra_disp_px,image_width,image_height
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.004619,618.003,366.640,-0.166,0.327,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.037370,618.061,366.658,-0.218,0.296,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.072866,618.122,366.711,-0.265,0.230,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.107315,618.119,366.685,-0.268,0.256,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.143278,618.242,366.814,-0.356,0.101,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.175293,618.122,366.663,-0.276,0.276,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.208883,618.169,366.650,-0.325,0.277,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.243076,618.255,366.806,-0.370,0.105,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.276159,618.273,366.960,-0.351,-0.049,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.309408,618.400,366.960,-0.475,-0.080,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.343530,618.216,366.756,-0.345,0.164,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.374842,618.126,366.654,-0.282,0.284,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.409798,618.338,366.857,-0.439,0.036,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.443241,618.372,366.931,-0.455,-0.044,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.476252,618.157,366.720,-0.296,0.212,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.509236,618.379,366.830,-0.485,0.052,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.543176,618.326,366.922,-0.412,-0.025,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.576614,618.218,366.858,-0.322,0.063,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.609494,618.354,367.082,-0.400,-0.187,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.644199,618.286,366.805,-0.401,0.099,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.677523,618.221,366.719,-0.359,0.198,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.709787,618.135,366.760,-0.265,0.179,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.742999,618.060,366.664,-0.216,0.290,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.777152,618.136,366.658,-0.291,0.277,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.809232,618.089,366.735,-0.227,0.214,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.843627,618.072,366.676,-0.224,0.276,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.876637,618.086,366.702,-0.232,0.246,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.910682,617.966,366.885,-0.072,0.098,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.944161,617.965,366.829,-0.084,0.152,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,0.976429,617.961,367.030,-0.031,-0.042,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,1.009660,617.931,367.036,-0.001,-0.040,1280,720
B28A31B0-FBE3-45F4-A396-223062F8C302,azimuth,1,1.043780,617.869,367.247,0.110,-0.230,1280,720
