session_id,phase,iteration,elapsed_sec,x_px,y_px,dec_disp_px,ra_disp_px,image_width,image_height
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.017315,652.514,407.489,0.087,-0.012,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.055458,652.529,407.512,0.077,-0.038,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.087994,652.521,407.677,0.126,-0.196,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.121217,652.583,407.583,0.042,-0.121,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.158242,652.548,407.609,0.083,-0.136,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.189371,652.397,407.753,0.265,-0.239,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.224195,652.341,407.867,0.347,-0.336,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.258417,652.499,407.775,0.171,-0.286,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.290698,652.457,407.608,0.171,-0.113,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.326188,652.472,407.571,0.147,-0.081,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.358019,652.468,407.559,0.148,-0.069,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.390966,652.191,407.601,0.427,-0.041,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.425478,652.459,407.626,0.173,-0.131,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.458637,652.434,407.689,0.213,-0.186,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.492379,652.408,407.548,0.204,-0.043,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.525584,652.329,407.647,0.305,-0.120,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.557948,652.220,407.523,0.380,0.027,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.590989,652.123,407.382,0.439,0.188,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.624010,652.431,407.488,0.167,0.009,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.659342,652.362,407.353,0.201,0.157,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.692443,652.507,407.404,0.073,0.072,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.725109,652.406,407.543,0.205,-0.037,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.758799,652.462,407.545,0.151,-0.053,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.792405,652.465,407.522,0.142,-0.032,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.824763,652.336,407.421,0.242,0.098,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.859118,652.395,407.618,0.234,-0.108,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.891981,652.445,407.458,0.146,0.035,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.925561,652.309,407.545,0.299,-0.016,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.958032,652.397,407.654,0.240,-0.144,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,0.991046,652.419,407.586,0.202,-0.083,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.026249,652.400,407.546,0.211,-0.040,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.058698,652.424,407.517,0.181,-0.017,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.091829,652.494,407.728,0.164,-0.239,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.124707,652.339,407.719,0.312,-0.193,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.159055,652.357,407.617,0.270,-0.098,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.192766,652.294,407.546,0.314,-0.013,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.225429,652.270,407.475,0.320,0.062,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.258757,652.289,407.765,0.373,-0.224,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.292029,652.507,407.655,0.134,-0.171,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.326165,652.229,407.499,0.365,0.048,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.358360,652.550,407.580,0.074,-0.109,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.391688,652.441,407.510,0.162,-0.014,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.425441,652.513,407.788,0.161,-0.301,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.458738,652.389,407.761,0.275,-0.245,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.491831,652.391,407.944,0.318,-0.423,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.546536,652.432,408.014,0.295,-0.501,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.552354,652.453,407.911,0.249,-0.406,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.588250,652.314,407.857,0.371,-0.319,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.623841,652.100,408.006,0.615,-0.411,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.657820,652.374,407.932,0.331,-0.407,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.690906,652.327,408.139,0.428,-0.596,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.724953,652.373,408.126,0.380,-0.595,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.759136,652.311,408.192,0.456,-0.644,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.793384,652.427,408.218,0.350,-0.698,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.825601,652.364,408.214,0.410,-0.678,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.860442,652.548,408.379,0.272,-0.883,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.892106,652.443,408.105,0.307,-0.592,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.926429,652.365,408.183,0.402,-0.648,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.957835,652.318,408.289,0.473,-0.740,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,1.991155,652.481,408.106,0.270,-0.603,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.026412,652.534,408.174,0.236,-0.680,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.058660,652.251,408.199,0.516,-0.636,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.092853,652.334,408.148,0.423,-0.606,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.126713,652.451,408.107,0.299,-0.596,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.156919,652.507,407.808,0.172,-0.319,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.191400,652.402,407.965,0.312,-0.446,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.225341,652.444,408.128,0.312,-0.614,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.257194,652.562,408.052,0.178,-0.570,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.291791,652.448,408.053,0.290,-0.542,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.323925,652.382,408.075,0.359,-0.548,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.358227,652.620,408.239,0.168,-0.765,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.392272,652.627,408.019,0.107,-0.553,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.425540,652.830,408.234,-0.037,-0.811,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.458899,652.375,408.096,0.370,-0.566,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.491310,652.590,408.222,0.193,-0.741,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.525803,652.287,408.317,0.510,-0.759,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.558315,652.198,408.239,0.577,-0.662,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.591957,651.618,408.296,1.153,-0.574,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.625327,651.659,408.227,1.097,-0.517,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.659350,651.675,407.908,1.003,-0.212,1280,720
6C530D92-B7AA-4DE0-870A-B1EDA6C9C221,azimuth,1,2.694398,651.892,408.042,0.826,-0.396,1280,720
