session_id,session_start,phase,cal_dec_axis_x,cal_dec_axis_y,iteration,duration_sec,sample_count,drift_rate_px_per_min,drift_rate_se_2sigma,ra_drift_rate_px_per_min,t_statistic,is_significant
25F628E1-E901-4813-B675-57BB910008F1,2026-06-13T12:43:24Z,azimuth,-0.9712835362883355,0.2379249716512027,1,110.044,3302,-2.5538,0.0254,-2.8378,-201.4091,true
25F628E1-E901-4813-B675-57BB910008F1,2026-06-13T12:43:24Z,azimuth,-0.9712835362883355,0.2379249716512027,2,90.017,2701,-2.0379,0.0269,-3.3866,-151.2624,true
25F628E1-E901-4813-B675-57BB910008F1,2026-06-13T12:43:24Z,azimuth,-0.9712835362883355,0.2379249716512027,3,90.005,2701,-0.0049,0.0269,-3.6919,-0.3669,false
25F628E1-E901-4813-B675-57BB910008F1,2026-06-13T12:43:24Z,azimuth,-0.9712835362883355,0.2379249716512027,4,114.045,3422,-0.7241,0.0276,-0.9438,-52.4623,false
25F628E1-E901-4813-B675-57BB910008F1,2026-06-13T12:43:24Z,azimuth,-0.9712835362883355,0.2379249716512027,4,114.045,3422,-0.7241,0.0276,-0.9438,-52.4623,false
25F628E1-E901-4813-B675-57BB910008F1,2026-06-13T12:43:24Z,altitude,-0.974129336426693,0.22599122972560426,1,90.031,2702,3.8175,0.0231,1.7656,330.0148,true
25F628E1-E901-4813-B675-57BB910008F1,2026-06-13T12:43:24Z,altitude,-0.974129336426693,0.22599122972560426,2,115.046,3452,1.9016,0.0233,3.2513,163.2981,true
25F628E1-E901-4813-B675-57BB910008F1,2026-06-13T12:43:24Z,altitude,-0.974129336426693,0.22599122972560426,3,90.020,2701,-0.4473,0.0214,-0.2691,-41.7717,false
25F628E1-E901-4813-B675-57BB910008F1,2026-06-13T12:43:24Z,altitude,-0.974129336426693,0.22599122972560426,4,95.045,2852,0.0873,0.0196,-2.7217,8.9136,false
25F628E1-E901-4813-B675-57BB910008F1,2026-06-13T12:43:24Z,altitude,-0.974129336426693,0.22599122972560426,4,95.045,2852,0.0873,0.0196,-2.7217,8.9136,false
