session_id,phase,iteration,elapsed_sec,x_px,y_px,dec_disp_px,ra_disp_px,image_width,image_height
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.020709,615.389,354.101,-0.273,0.157,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.057487,615.309,354.106,-0.194,0.171,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.089080,615.504,354.034,-0.400,0.196,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.124763,615.430,354.063,-0.321,0.185,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.159058,615.579,354.058,-0.467,0.155,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.189788,615.549,354.034,-0.444,0.185,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.224743,615.725,353.875,-0.652,0.299,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.259744,615.916,353.746,-0.868,0.379,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.292479,615.937,353.804,-0.875,0.318,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.327760,615.971,353.753,-0.920,0.360,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.359132,615.925,353.754,-0.875,0.369,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.393128,615.919,353.986,-0.815,0.146,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.426143,615.908,353.835,-0.839,0.295,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.459863,615.981,353.694,-0.943,0.415,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.493205,615.972,353.880,-0.891,0.236,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.526149,615.918,354.010,-0.808,0.123,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.559133,615.999,354.199,-0.843,-0.081,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.594157,615.955,354.043,-0.837,0.082,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.626471,615.940,354.198,-0.786,-0.066,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.660471,615.680,354.027,-0.573,0.161,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.693542,615.426,354.144,-0.299,0.107,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.726962,615.350,354.094,-0.236,0.174,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.760703,615.341,354.157,-0.213,0.115,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.794063,615.330,354.031,-0.232,0.239,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.825556,615.291,353.995,-0.202,0.284,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.860045,615.088,354.300,0.066,0.034,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.894318,615.128,354.407,0.052,-0.079,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.926666,615.202,354.418,-0.017,-0.107,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.959319,615.339,354.347,-0.166,-0.070,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,0.994373,615.326,354.329,-0.158,-0.050,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.026159,615.184,354.280,-0.031,0.031,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.060966,615.153,354.283,-0.001,0.035,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.092774,615.205,354.330,-0.040,-0.022,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.126373,615.307,354.155,-0.180,0.124,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.161196,615.285,354.134,-0.164,0.150,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.194784,615.101,353.866,-0.048,0.453,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.226138,615.039,353.755,-0.013,0.576,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.260736,615.170,353.834,-0.122,0.468,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.293248,615.441,353.805,-0.392,0.433,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.326104,615.437,353.926,-0.361,0.317,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.353598,615.373,353.800,-0.327,0.454,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.387102,615.417,353.933,-0.339,0.314,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.420320,615.442,353.964,-0.356,0.279,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.454047,615.399,353.885,-0.333,0.366,1280,720
570D7B78-4F31-461A-A35E-12B12F9D3E7B,azimuth,1,1.487916,615.630,353.851,-0.565,0.344,1280,720
